date,portfolio_value
2025-07-01,10000.00
2025-07-01,10000.00
2025-07-01,10000.00
2025-07-01,10000.00
2025-07-01,10000.00
2025-07-01,10000.00
2025-07-01,10000.00
2025-07-01,10000.00
2025-07-01,10000.00
2025-07-01,10000.00
2025-07-01,10000.00
2025-07-01,10000.00
2025-07-02,9999.65
2025-07-02,9999.65
2025-07-02,9999.65
2025-07-02,9999.53
2025-07-02,9999.53
2025-07-03,10019.96
2025-07-03,10019.96
